"solver","numclues","median","avg","count","max","min","range"
"v0",23,"0.589338","374.454697858842","191","40032.4","0.00460239","40032.4"
"v0",24,"0.873857","53.3910846908491","184","1719.25","0.00554829","1719.24"
"v0",25,"1.14753","45.9515118020402","192","1673.95","0.00577562","1673.94"
"v0",26,"0.658953","14.2669855505944","234","558.322","0.00594953","558.316"
"v0",27,"0.729892","15.3598517086076","199","744.605","0.00431618","744.601"
"v0",28,"1.58906","46.2713660762233","183","5458.31","0.00882527","5458.3"
"v0",29,"1.32367","12.2909500074381","184","263.85","0.00768175","263.842"
"v0",30,"0.742463","8.90513009597336","207","585.042","0.00747036","585.035"
"v0",31,"0.76936","3.79265354059343","216","97.2611","0.00770759","97.2534"
"v0",32,"0.525059","2.55707051228022","210","57.8846","0.0065523","57.8781"
"v0",33,"0.669498","3.41709891730761","211","132.463","0.00615387","132.457"
"v0",34,"0.401869","1.89481948131624","208","47.4582","0.00644303","47.4518"
"v0",35,"0.200788","1.07559847824134","184","16.7706","0.00536976","16.7653"
"v0",36,"0.184318","0.697037213537041","186","10.4635","0.00550907","10.458"
"v0",37,"0.1171","0.422543251723651","211","7.53907","0.00542259","7.53365"
"v1",23,"0.288499","334.251705592371","191","40300.9","0.0051059","40300.9"
"v1",24,"0.261398","18.0954745007583","184","1052.82","0.00476021","1052.81"
"v1",25,"0.329171","14.4577056566195","192","711.881","0.00371579","711.877"
"v1",26,"0.311611","5.80749117354982","234","168.791","0.00511419","168.786"
"v1",27,"0.178374","4.50353113274048","199","198.853","0.00411252","198.849"
"v1",28,"0.624398","6.34498093758399","183","297.679","0.00518285","297.673"
"v1",29,"0.304317","4.71681247079315","184","214.141","0.000150778","214.141"
"v1",30,"0.21159","1.36801559839551","207","39.0822","0.00211734","39.0801"
"v1",31,"0.137732","1.14028639345984","216","43.8657","0.000783392","43.8649"
"v1",32,"0.077562","0.673447918676608","210","50.5052","0.000126543","50.5051"
"v1",33,"0.0606112","0.487651303970744","211","11.9209","0.000111535","11.9207"
"v1",34,"0.030839","0.286291518691437","208","16.7628","0.000101687","16.7627"
"v1",35,"0.0089659","0.139551339474881","184","2.53592","0.000110288","2.53581"
"v1",36,"0.00489391","0.0944816723687875","186","5.13001","0.000106808","5.1299"
"v1",37,"0.00333726","0.0301888400388901","211","1.10052","0.000102505","1.10042"
"v2",23,"0.164926","2.27237265549737","191","93.0995","0.00855829","93.091"
"v2",24,"0.166931","5.1055243277983","184","270.343","0.0118846","270.331"
"v2",25,"0.164094","4.53638073173352","192","454.708","0.00913939","454.699"
"v2",26,"0.115008","1.92397588645864","234","151.752","0.00939017","151.742"
"v2",27,"0.102207","0.926581883606449","199","33.9433","0.00932119","33.934"
